nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
AFFILAE,750845208,2012-04-01,NETILUM,Non disponible,73.12Z,12,PME,A,"9 RUE ANDRE DARBON, 33300 BORDEAUX"
AGE IMPULSE,883606253,2020-06-05,AGE IMPULSE,Non disponible,71.12B,01,PME,A,"54 RUE MOLIERE, 94200 IVRY-SUR-SEINE"
AGENCE ZOL,440772697,2002-01-28,ZOL,Non disponible,64.20Z,03,ETI,A,"61 RUE DE DOUAI, 75009 PARIS"
AGIGA PLACE,884585324,2020-06-24,AGIGA PLACE,Non disponible,47.91A,02,PME,A,"152 RUE DE LA PAIX, 69400 VILLEFRANCHE-SUR-SAONE"
AGIL TECHNOLOGIES,794330845,2013-07-03,AGIL TECHNOLOGIES,Non disponible,63.12Z,Non disponible,Non disponible,C,"9 RUE BEAUJON, 75008 PARIS 8"
AGILEO AUTOMATION,520941485,2010-03-15,AGILEO AUTOMATION,Non disponible,71.12B,12,PME,A,"20 ESP DES FONTAINES, 82000 MONTAUBAN"
AGORA CALYCÉ,799736764,2013-12-17,AGORA CALYCE,Non disponible,63.11Z,12,ETI,A,"311 CHEMIN DE LA FONTAINE, 38440 BEAUVOIR-DE-MARC"
AGORA OPINION | TAQT,534232558,2011-06-29,TAQT,Non disponible,58.29C,11,PME,A,"20 BOULEVARD EUGENE DERUELLE, 69003 LYON"
AGORA SOFTWARE,501502827,2007-12-01,AGORA SOFTWARE,CAP- RHI / CAP-ISA / CAP-HRI,62.02A,Non disponible,PME,A,"10 RUE PERGOLESE, 75016 PARIS"
AGORAPLUS,480170885,2005-01-01,AGORA PLUS,Non disponible,58.29C,11,PME,A,"1 ALLEE CASSARD, 44000 NANTES"
AGRIFIND GROUP,834859647,2018-01-11,AGRIFIND GROUP,Non disponible,74.90B,00,PME,A,"2 RUE DES LAZARISTES, 01000 BOURG-EN-BRESSE"
AHEAD TECHNOLOGY,488101858,2006-01-16,EUROTIL SOUS L'ENSEIGNE AHEAD TECHNOLOGY EMEA,EUROTIL,82.99Z,Non disponible,Non disponible,C,"5 CHE DU JAS, 13950 CADOLIVE"
AIA HANDICAP,939098034,2025-01-01,Non disponible,Non disponible,62.01Z,Non disponible,Non disponible,A,"3 RUE DU VAL VERT, 74600 ANNECY"
AII – AUTOMATISME ET INFORMATIQUE INDUSTRIELLE,323681049,1982-09-20,AUTOMATISME ET INFORMATIQUE INDUSTRIELLE,AII,33.20C,02,PME,A,"1 PL MARIE CURIE, 74000 ANNECY"
AIPHONIA,404566093,1996-04-01,AIPHONE,Non disponible,46.52Z,21,PME,A,"6 RUE DES PYRENEES, 91090 LISSES"
AIR LIQUIDE,314119504,1978-01-01,AIR LIQUIDE FRANCE INDUSTRIE,Non disponible,20.11Z,51,GE,A,"6 RUE COGNACQ-JAY, 75007 PARIS"
AIR SERENITY,752935791,2012-07-18,AIR SERENITY,Non disponible,71.12B,Non disponible,PME,A,"86 RUE DE PARIS, 91400 ORSAY"
AIRBUS CYBERSECURITY,523941037,2010-07-20,AIRBUS CYBERSECURITY SAS,Non disponible,62.01Z,22,GE,A,"2 RUE MARCEAU, 92130 ISSY-LES-MOULINEAUX"
AIRCAPTIF,832753297,2017-10-16,MICHELIN INFLATABLE SOLUTIONS,Non disponible,13.96Z,21,GE,A,"12 RUE JEAN MONNET, 78990 ELANCOURT"
AIS BIOTECH,950788182,2023-03-14,AIS BIOTECH,Non disponible,72.11Z,Non disponible,Non disponible,A,"22 RUE SAINT FERJUS, 38000 GRENOBLE"
AJ INVEST & CONSULTING,903002376,2021-09-06,AJ INVEST & CONSULTING,Non disponible,66.30Z,Non disponible,PME,A,"9 CHEMIN DE LA VIGNE ANTIQUE, 74290 VEYRIER-DU-LAC"
AJR MULTI SERVICES,848317657,2019-02-01,AJR MULTI SERVICES,Non disponible,43.34Z,01,PME,A,"4 RUE AGNES SOREL, 18340 VORLY"
ALBERTINE EN CONSIGNE,848917449,2019-04-07,ALBERTINE,Non disponible,47.61Z,02,PME,A,"20 RUE VILLEBOIS MAREUIL, 29900 CONCARNEAU"
ALBUS FACTORY,980861009,2023-10-19,ALBUS FACTORY,Non disponible,70.22Z,Non disponible,Non disponible,A,"8 RUE JACQUES KABLE, 94130 NOGENT-SUR-MARNE"
ALENTIS THERAPEUTICS,851424929,2019-05-23,ALENTIS DEVELOPMENT,Non disponible,72.19Z,01,PME,A,"1 PLACE DE L'HOPITAL, 67000 STRASBOURG"
ALERTGASOIL™,511118333,2009-03-10,ADD,AVENIR DEVELOPPEMENT DURABLE,62.02A,12,PME,A,"62 BOULEVARD LAZER, 13010 MARSEILLE"
ALFRED MEETING,822744900,2016-09-22,ALFRED MEETING,Non disponible,82.30Z,11,PME,A,"14 RUE MATHURIN REGNIER, 75015 PARIS"
ALGO PAINT,812243327,2015-06-25,ALGO PAINT,Non disponible,20.30Z,11,PME,A,"ZA DE LA MOTTE, 35770 VERN-SUR-SEICHE"
ALKION BIOPHARMA,828176784,2017-03-06,ALKION BIOINNOVATIONS,Non disponible,10.86Z,11,PME,A,"23 ALLEE DES MARRONNIERS, 78000 VERSAILLES"
ALL VIRTUAL,822505608,2016-09-01,ALL VIRTUAL,Non disponible,62.02A,03,PME,A,"82 RUE D'HAUTEVILLE, 75010 PARIS"
ALLERGEN ALERT,934975475,2024-10-29,ALLERGEN ALERT,Non disponible,20.59Z,Non disponible,Non disponible,A,"4 CHEMIN SAINT JUST, 69510 MESSIMY"
ALLOVOISINS,792209967,2013-03-29,2CED,Non disponible,63.12Z,12,PME,A,"2 RUE ROBERT SCHUMAN, 44400 REZE"
ALLPRIV,833146947,2017-10-23,DEVPRIV,Non disponible,26.20Z,Non disponible,PME,A,"ZAE LA TERRASSE, 34150 ANIANE"
ALLTRACKS ENGINEERING,949845705,2023-03-10,ALLTRACKS ENGINEERING,Non disponible,45.19Z,Non disponible,Non disponible,A,"4 CHEMIN DES TILLEULS, 73100 MOUXY"
ALLURE SYSTEMS,752946855,2012-07-13,ALLURE SYSTEMS,Non disponible,63.11Z,Non disponible,PME,A,"7 RUE DE CASTELLANE, 75008 PARIS"
ALMB GROUP,899149470,2021-04-29,ALMB GROUP,Non disponible,47.91B,Non disponible,PME,A,"32 BOULEVARD DU PORT, 95000 CERGY"
ALP VALLEY,908315203,2021-12-15,ALP VALLEY,Non disponible,70.22Z,01,PME,A,"37 AV DES MASSETTES HUB DES ALPES, 73190 CHALLES-LES-EAUX"
ALPES RECRUTEMENT,908316706,2022-01-02,ALPES RECRUTEMENT,Non disponible,70.22Z,Non disponible,PME,A,"731 CHEMIN DE CRAPONOZ, 38190 BERNIN"
ALPHA FLORA,853195626,2019-07-01,ALPHA FLORA,Non disponible,81.21Z,02,PME,A,"74 CHEMIN DES 3 FEUILLETS, 06330 ROQUEFORT-LES-PINS"
ALPHA MOS,389274846,1992-12-01,ALPHA M.O.S.,Non disponible,26.51B,12,PME,A,"4 RUE BRINDEJONC DES MOULINAIS, 31500 TOULOUSE"
ALPINOV X,828812735,2017-03-31,ALPINOV X,Non disponible,71.12B,11,PME,A,"RUE LOUISE DREVET, 38360 NOYAREY"
ALTA VOCE,881655005,2020-02-03,ALTA VOCE,Non disponible,62.02B,00,PME,C,"87 RUE HENRI BARBUSSE, 92190 MEUDON"
ALTEA CONSEIL,930401526,2024-06-24,ALTEA CONSEIL,Non disponible,62.02A,Non disponible,Non disponible,A,"26 RUE BOSQUET, 75007 PARIS"
ALTER WAY,490932308,2006-06-08,ALTER WAY,Non disponible,64.20Z,22,ETI,A,"32 BOULEVARD VICTOR HUGO, 44200 NANTES"
ALTERFINA,514951490,2009-10-01,DEALCOCKPIT,LIQUIDATEUR.NET,62.09Z,01,PME,A,"1 RUE DE LA MISERICORDE, 14000 CAEN"
ALTO SOLUTION,838064665,2018-03-07,ALTO SOLUTION,Non disponible,74.90B,01,PME,A,"97 RUE SAUVEUR TOBELEM, 13007 MARSEILLE"
ALTOSPAM,442462040,2002-07-08,OKTEY,OKTEY CONSEILS,58.29C,03,PME,A,"31 RUE BELLE ETOILE, 33800 BORDEAUX"
ALTRNATIV,884983958,2020-06-24,ALTRNATIV.COM,Non disponible,62.01Z,12,PME,A,"10 RUE DE LA PAIX, 75002 PARIS"
