logo,page_french_tech,nom,description,market,field,mots_clé,mots_clé_2,mots_clé_3,mots_clé_4,mot_clé_5,employees,date de création,valeur_entreprise,financement,adresse,dernier_financement
https://storage.googleapis.com/dealroom-images-production/29/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wOS85ZGU0NDNmZjM4ZjE4YTYxNzFkYmJlYjU2YmM1MTc3Ng==.png,https://ecosystem.lafrenchtech.com/companies/advans_group_,ADVANS Group,"Specialized engineering solutions for hardware, software, and mechanical technology integration",B2B,enterprise software,,,,subscription,saas,1001-5000 employees,2000,,€50.0m,"Cachan, France",€50.0m GROWTH EQUITY VC
https://storage.googleapis.com/dealroom-images-production/2e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNC8wNDhhODgxMzljYTlmMTg0ZmNhYzJjZjEyNWQ2ZDU1NA==.png,https://ecosystem.lafrenchtech.com/companies/advize,ADVIZE,A Tax and Business Solutions Company...visit us at http://t.co/ESLqSnfCkg,B2B,fintech,,financial management solutions,,,,11-50 employees,2012,€2—3m,€500k,"Boulogne-Billancourt, France",€500k SEED
https://storage.googleapis.com/dealroom-images-production/60/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wOS9mYzQ4NmUxNzc0MDVlNTQwZTViNzhlYjA0NzhlMTFjMA==.png,https://ecosystem.lafrenchtech.com/companies/afalence,AFALENCE,"Website design, development and SEO services",B2B,marketing,,,,subscription,saas,2-10 employees,2023,,-,"Paris, France",
https://storage.googleapis.com/dealroom-images-production/ae/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy8zOWI0NTUxNmVlODFhZmJmMWE0OGQxNmZmZmJkMWEwYQ==.png,https://ecosystem.lafrenchtech.com/companies/affluences,AFFLUENCES,,B2B,travel,B2C,booking & search,,subscription,saas,11-50 employees,Aug 2014,€16—24m,€4.0m,"Paris, France",€4.0m LATE VC
https://storage.googleapis.com/dealroom-images-production/b3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy85M2I5NGM5NmIzNWQ2MWFlYjdlYThmNjk0NmExMWZmZQ==.png,https://ecosystem.lafrenchtech.com/companies/afyren,AFYREN,A company specialized in microbiology and bioprocess engineering for the valorization of non-food biomass in bioenergy and green chemistry,B2C,food,,agritech,,deep tech,manufacturing,51-200 employees,Apr 2012,€187m,€24.9m,"Clermont-Ferrand, France",€9.0m POST IPO DEBT
https://storage.googleapis.com/dealroom-images-production/21/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy9jNzlmYTM0ZmIyMmQxYjAwMTE1OGM3ZmNjZDM1Nzk1YQ==.png,https://ecosystem.lafrenchtech.com/companies/agrid_,AGRID,,B2B,energy,,,,deep tech,,11-50 employees,2019,,-,"Ajaccio, France",
https://storage.googleapis.com/dealroom-images-production/29/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMC9kYjI0YmZlZjAyN2QyNjdlOTNjYWMzYTFiNTA2MTFkOA==.png,https://ecosystem.lafrenchtech.com/companies/ags_therapeutics,AGS Therapeutics,A group of interrelated companies developing biomedicines based on extracellular vesicles from microalgae,B2B,health,,biotechnology,,commission,manufacturing,2-10 employees,2020,,-,"Paris, France",
https://storage.googleapis.com/dealroom-images-production/4f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy9mMWEwOWVhNGUwMmQzYTQ1NjMzMGM0OTMzZjQwOWQ0MQ==.png,https://ecosystem.lafrenchtech.com/companies/aguila_technologies,AGUILA Technologies,Experts in small-sized energy-efficient electronic connected devices,B2B,energy,semiconductors,energy efficiency,,deep tech,manufacturing,11-50 employees,2009,,€170k,"Bidart, France",€170k GRANT
https://storage.googleapis.com/dealroom-images-production/4f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xMC9jNGMzYzNjMjA0NWM4NjRkMTYwNjY4OWI3MjYwZThhYw==.png,https://ecosystem.lafrenchtech.com/companies/ai_bright,AI BRIGHT,"AI BRIGHT, disrupting Fitness with AI technology",,marketing,,,,selling own inventory,,2-10 employees,Dec 2019,,-,"Levallois-Perret, France",N/A ANGEL
https://storage.googleapis.com/dealroom-images-production/3b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy84MmJiMDNhZWE2ODEwMmRiYzg0NjEwM2MwOThmYWMzZg==.png,https://ecosystem.lafrenchtech.com/companies/aircampus,AIRCAMPUS,,,transportation,,,,,,51-200 employees,2019,€6—9m,€1.5m,"Strasbourg, France",€1.5m SEED
https://storage.googleapis.com/dealroom-images-production/4f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xMC82ZWM4MDA5MmVlNTJkMTQ0MzhkZDg3YWUyNTViNjlhNA==.png,https://ecosystem.lafrenchtech.com/companies/ais_biotech,AIS Biotech,A biotech company with the objective of developing a new class of sugar-based anti-infective biotherapeutics to fight (re)emerging infectious diseases,B2B,health,,biotechnology,,commission,,2-10 employees,Mar 2023,,-,"Grenoble, France",
https://storage.googleapis.com/dealroom-images-production/ba/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy9iYTlhMDk3OWQzNTdiNzJlZTkxM2FmNzNmMGVjNTFlZg==.png,https://ecosystem.lafrenchtech.com/companies/aisprid,AISPRID,AISPRID — Autonomous Robots for soft fruits picking,B2B,food,robotics,agritech,,artificial intelligence,hardware,11-50 employees,Apr 2020,€40—60m,€14.6m,"Saint-Malo, France",€10.0m SERIES A
https://storage.googleapis.com/dealroom-images-production/f0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy81ZmUyNzM2NTU0NWQ3ZWU0NWQ0ZGVhODVjMDI0N2MwMQ==.png,https://ecosystem.lafrenchtech.com/companies/aitenders,AItenders,Tender and Contract management process with AI,B2B,legal,enterprise software,,,artificial intelligence,big data,11-50 employees,Jan 2019,,-,"Saint-Étienne, France",N/A SUPPORT PROGRAM
https://storage.googleapis.com/dealroom-images-production/ef/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS80OGMxODlhOWY3NmNlODQ1MjE4MmY0MzBlZjRjMzNhMQ==.png,https://ecosystem.lafrenchtech.com/companies/akio,AKIO,Akio | Customer experience management software,B2B,marketing,,crm & sales,ecommerce solutions,subscription,,51-200 employees,Nov 1999,€8—12m,€4.8m,"Paris, France",€2.0m EARLY VC
https://storage.googleapis.com/dealroom-images-production/87/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy8zYmIwOGZlYmJiNWFkMTI0ZTFjNjIzMWRiM2U5MTQ4Nw==.png,https://ecosystem.lafrenchtech.com/companies/akivi,AKIVI,AKIVI application offers certified medical and paramedical training courses,B2C,health,education,education providers,learning tools and resources,subscription,saas,2-10 employees,Dec 2022,,-,"Angers, France",N/A SPINOUT
https://storage.googleapis.com/dealroom-images-production/ba/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xMC83Mjg0NTMwZjczYjg2MjBhMDExNmIxNmJiYzVlZTQ2NQ==.png,https://ecosystem.lafrenchtech.com/companies/alaka,ALAKA.BIO,"developing a revolutionary targeting polymeric nanoparticle that enhances the transduction efficiency of quiescent cells such as T-cells, NK-cells, and stem cells",B2B,health,,biotechnology,,commission,,11-50 employees,Jul 2022,,-,"Paris, France",
