id,name,description,logo_url,website,category,subcategories,address
32d406be-52f6-4a1c-b4f8-09e8bcdcc58d,ABACANE,Met en relation les marques avec des prospects qualifiés et intentionnistes.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/055f47b4-f178-4272-8309-6c60fe80c1b2,,,,
f490cbd4-9fa0-473e-a43b-018b9dc2334f,ABATECK,Abateck – Au-delà du matériel,https://upload.prd.hbd.cloud.bpifrance.fr/aaa09712-00d3-4468-b13c-ff762772b716,http://abateck.com/,,,
06637096-3dda-4c61-a470-8942c83ca42f,ABBIRA,CONSPECTUS par Abbira - Case Knowledge Management,https://upload.prd.hbd.cloud.bpifrance.fr/70fdccf1-8baa-4f88-bb9a-806a81ce49f9,http://abbira.com/,,,
d91ba67e-ec6b-4c09-b736-43b9814770fc,ABCELY,Development of therapeutic antibodies for the treatment of mucosal cancers,https://upload.prd.hbd.cloud.bpifrance.fr/02687c06-6701-4546-898c-1f72c5a8500e,,,,
e7a1de98-b6c6-46b7-bc26-a4463eb493a2,ABGX,ABGX est un éditeur de logiciel de gestion de la radioprotection qui permet d'assurer un niveau de conformité optimale pour un établissement ayant des travailleurs exposés aux rayonnements ionisants. L'ensemble de vos données radioprotection sont centralisés dans un seul et unique logiciel afin que vous puissiez vous consacrer à vos missions terrains. Notre logiciel évolue grâce aux retours de nos clients et s'adapte parfaitement aux besoins et capacités de votre établissement.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/80cacfcb-a0c6-46f5-a6ea-12c339e81c3b,http://www.abgx.fr/,,,
966127f3-c812-480a-aef2-b96937bc7c58,ABIONYX PHARMA (EX-CERENIS),"""ABIONYX Pharma est une société biotech de nouvelle génération qui entend contribuer à la santé grâce à des thérapies innovantes dans des indications sans traitement efficace ou existant, même les plus rares.",,,,,
b7ccd500-93a4-4f0c-9efd-f16a74ee3387," Grâce à ses partenaires chercheurs, médecins, p""",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/56b20fb6-546d-4f4d-860c-963f2316da85,,,,https://abionyx.com/fr/,
7c0acd02-8795-4a8c-a2aa-6bd06d62311b,ABLA ANALYTICS,Abla c’est simplement une solution de mesure d'audience pour les sites internet. Notre différence avec Google Analytics ? On est respectueux par défaut au RGPD et aux recommandations de la CNIL.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/fb4e2804-1b9e-4471-9b82-23bfc88827d5,https://abla.io/,,,
06259cd9-d2eb-4983-b3d9-7ae44ea7fc22,ABLATOM,"Since 2017, ABLATOM designs, manufactures, and delivers premium, tailor-made elemental chemical analysis solutions using LIBS technology (Laser-Induced Breakdown Spectroscopy). We offer real-time atomic-level material identification for R&D centers and industries, leveraging LIBS for unmatched precision.",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g79hnIAA.png,https://www.ablatom.com/en/,,,"""62 Boulevard Niels Bohr 0603076954 Villeurbanne, Rhon 69100"
f10d44cf-0eb9-4879-aec7-76ea3c23736c,ABOLERIS PHARMA,"Société de biotechnologie qui développera des approches thérapeutiques nouvelles et uniques pour induire une tolérance immunitaire et préserver des réponses immunitaires utiles dans les maladies inflammatoires, auto-immunes et dégénératives",https://upload.prd.hbd.cloud.bpifrance.fr/f4595977-419e-4db5-b7a0-3f2fd5700617,http://aboleris-pharma.com/,,,
2f6d3943-a585-4c51-828a-5fe73a18e3a7,ABSOLUT SYSTEM,"""Créée en 2010 par des experts en haute technologie cryogénique, Absolut System est spécialisée dans la gestion thermique cryogénique. Grâce à sa réactivité, sa flexibilité et sa forte maturité technique, la société développe aujourd’hui des solutions pour les marchés de l’aéronautique, du spatial, de la recherche scientifique, de la supraconductivité et des nouvelles énergies.",,,,,
72c1d913-d294-4f10-a687-d65ff70e041e,"Avec une équipe de 25 ingénieurs, Absolut System innove pour la recherche et crée des composants destinés à des systèmes complexes utilisés à l’international.",,,,,,
a79e70b7-a140-4cb0-9d2b-b28287f28464,Absolut System intègre deux pôles d’activités transverses :,,,,,,
29e98771-a4fd-47e8-ad2f-04efa9ed9037,Innovation cryogénique :,,,,,,
