title,description,address,logo_url,url
ARTIBOX,La 1ère plateforme qui digitalise l’artisanat,"36 Rue de Lamirault, Collégien",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/artibox_2.png,https://lespepitestech.com/startup-de-la-french-tech/artibox
EDAF,"Votre Directeur Administratif et Financier, 100% digital, 100% humain","4 Rue de Lisbonne, Schiltigheim",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/edaf-logo02-couleur-baseligne4x.png,https://lespepitestech.com/startup-de-la-french-tech/edaf
DANS TA ROUE,"Révolutionner la réparation vélo, en vous aidant à trouver le réparateur de vélo le plus proche de chez vous.","27 Rue Sanlecque, 44000 Nantes",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logoorangedtr_2.png,https://lespepitestech.com/startup-de-la-french-tech/dans-ta-roue
FILTER MAKER,Agence de création et diffusion de contenu en réalité augmentée.,"28 Rue Rousselet, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-filtermaker-linkedin.png,https://lespepitestech.com/startup-de-la-french-tech/filter-maker
REGATE,"Regate est un logiciel comptable qui permet aux entreprises de gérer et comptabiliser les factures, les notes de frais, de payer ses fournisseurs ou de reçevoir des paiements.","17 Rue Saint-Fiacre, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/2021-02-08_10_49_22-regate.png,https://lespepitestech.com/startup-de-la-french-tech/regate
CLEANMOB,Décarbonation & optimisation de flottes de véhicules d’entreprises grâce à notre technologie propritaire de Virtual Sensors (plus besoin d'installer un boîtier coûteux sur les véhicules).,20 B RUE LOUIS PHILIPPE 92200 NEUILLY-SUR-SEINE,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/image_3cleanfleet_logo.png,https://lespepitestech.com/startup-de-la-french-tech/cleanmob
REEVIVE,"Trouvez le meilleur réparateur pour vos smartphones, laptop, consoles ... Grâce à nos algorithmes de matching","STATION F, Parvis Alan Turing, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/reevive-logo-gradientvert-c_2.png,https://lespepitestech.com/startup-de-la-french-tech/reevive
IDAREYOU,Le 1er réseau social permettant de donner à des associations via des challenges caritatifs,33000 Bordeaux,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/idareyou_logo_resources.png,https://lespepitestech.com/startup-de-la-french-tech/idareyou
HELLO MY CAKE,Hello My Cake est une plateforme de mise en relation entre pâtissiers et particuliers. Je souhaite apporter une touche d'innovation pour nos amis les pâtissiers et faciliter la prise de commande en ligne d'un gâteau pour tout le monde :D.,Marseille,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-hellomycake.jpg,https://lespepitestech.com/startup-de-la-french-tech/hello-my-cake
KELEPOQ,"KELEPOQ chine aux quatre coins de l’Europe de vieilles photographies en noir et blanc dans des brocantes, des vides greniers, chez des antiquaires, etc. Elles sont ensuite restaurées dans son atelier afin de pouvoir les éditer en très grande qualité.","17, Parc d’activité La Salorge 85330 Noirmoutier en l’Île",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/kelepoq_2.jpg,https://lespepitestech.com/startup-de-la-french-tech/kelepoq
BPARTNERS ARTISANS & INDÉPENDANTS,"BPartners est l'application tout-en-un, INTUITIVE ET INTELLIGENTE qui fait gagner du temps et des clients aux artisans et indépendants","27 Rue du Chemin Vert, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-bpartners_5-_assistant_intelligent.png,https://lespepitestech.com/startup-de-la-french-tech/bpartners-artisans-independants
KIPOYA,"Devenir champion demande de la régularité, c'est pareil pour la scolarité : L’application où parents et enfants s’entendent sur un créneau de révision quotidien de 10mn pour les aider à décoller","27 Rue du Chemin Vert, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-01_4.png,https://lespepitestech.com/startup-de-la-french-tech/kipoya
NUMA HEALTH INTERNATIONAL,"Numa Health développe des solutions numériques permettant d'optimiser sa santé et son bien-être. Basée sur l'expérience clinique et des algorithmes, sa ré-interprétation du test sanguin dévoile le fonctionnement du corps et apporte des conseils ciblés.","1 Rue de la Trinquette, 17000 La Rochelle",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/numa_inspiredhealth-logo.png,https://lespepitestech.com/startup-de-la-french-tech/numa-health-international
LIBIMMO,La nouvelle agence immobilière qui s'occupe de la vente de votre bien immobilier de A à Z - Frais fixes de 5 990€ -,Beauvais,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_libimmo_2020_ok_2_320x122_1.png,https://lespepitestech.com/startup-de-la-french-tech/libimmo
LES NOUVEAUX AFFINEURS,De délicieuses alternatives végétales au fromage 100% bio et naturelles.,"94 Rue Victor Hugo, Ivry-sur-Seine",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_lna.png,https://lespepitestech.com/startup-de-la-french-tech/les-nouveaux-affineurs
